start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1762905600,1762992000,2025-11-12T00:00:00+00:00,2025-11-13T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,2.0,user-9K9NKdMZnughqzWdz3vw25M7,key_RncWc8uX64FYUW5T,gpt-4.1-mini-2025-04-14,False,incentivized-tier,33338.0,2333.0,0.0,33338.0,33338.0,2333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762905600,1762992000,2025-11-12T00:00:00+00:00,2025-11-13T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,32.0,user-9K9NKdMZnughqzWdz3vw25M7,key_RncWc8uX64FYUW5T,gpt-4o-mini-2024-07-18,False,incentivized-tier,329628.0,16347.0,0.0,329628.0,329628.0,16347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762992000,1763078400,2025-11-13T00:00:00+00:00,2025-11-14T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,1.0,user-9K9NKdMZnughqzWdz3vw25M7,key_RncWc8uX64FYUW5T,gpt-4.1-mini-2025-04-14,False,incentivized-tier,15676.0,1071.0,0.0,15676.0,15676.0,1071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762992000,1763078400,2025-11-13T00:00:00+00:00,2025-11-14T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,17.0,user-9K9NKdMZnughqzWdz3vw25M7,key_RncWc8uX64FYUW5T,gpt-4o-mini-2024-07-18,False,incentivized-tier,222296.0,7416.0,0.0,222296.0,222296.0,7416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762992000,1763078400,2025-11-13T00:00:00+00:00,2025-11-14T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,2.0,user-9K9NKdMZnughqzWdz3vw25M7,key_ijVwXbBu9iELk7hy,gpt-5-pro-2025-10-06,False,default,36286.0,15741.0,0.0,36286.0,36286.0,15741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763078400,1763164800,2025-11-14T00:00:00+00:00,2025-11-15T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,8.0,user-9K9NKdMZnughqzWdz3vw25M7,key_RncWc8uX64FYUW5T,gpt-4.1-mini-2025-04-14,False,incentivized-tier,140460.0,8967.0,0.0,140460.0,140460.0,8967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763078400,1763164800,2025-11-14T00:00:00+00:00,2025-11-15T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,6.0,user-9K9NKdMZnughqzWdz3vw25M7,key_RncWc8uX64FYUW5T,gpt-4o-mini-2024-07-18,False,incentivized-tier,84003.0,1924.0,0.0,84003.0,84003.0,1924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763164800,1763251200,2025-11-15T00:00:00+00:00,2025-11-16T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,1.0,user-9K9NKdMZnughqzWdz3vw25M7,key_RncWc8uX64FYUW5T,gpt-4.1-mini-2025-04-14,False,incentivized-tier,15652.0,1258.0,0.0,15652.0,15652.0,1258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763164800,1763251200,2025-11-15T00:00:00+00:00,2025-11-16T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,6.0,user-9K9NKdMZnughqzWdz3vw25M7,key_RncWc8uX64FYUW5T,gpt-4o-mini-2024-07-18,False,incentivized-tier,83846.0,2506.0,0.0,83846.0,83846.0,2506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763251200,1763337600,2025-11-16T00:00:00+00:00,2025-11-17T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1763337600,1763424000,2025-11-17T00:00:00+00:00,2025-11-18T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,11.0,user-9K9NKdMZnughqzWdz3vw25M7,key_RncWc8uX64FYUW5T,gpt-4o-2024-08-06,False,incentivized-tier,13632.0,3671.0,3072.0,10560.0,10560.0,3671.0,3072.0,0.0,0.0,0.0,0.0,0.0,0.0
1763337600,1763424000,2025-11-17T00:00:00+00:00,2025-11-18T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,1.0,user-9K9NKdMZnughqzWdz3vw25M7,key_RncWc8uX64FYUW5T,gpt-4o-mini-2024-07-18,False,incentivized-tier,421.0,228.0,0.0,421.0,421.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763424000,1763510400,2025-11-18T00:00:00+00:00,2025-11-19T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,1.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4.1-2025-04-14,False,incentivized-tier,2112.0,827.0,0.0,2112.0,2112.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763510400,1763596800,2025-11-19T00:00:00+00:00,2025-11-20T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,603.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4.1-2025-04-14,False,default,654194.0,366903.0,0.0,654194.0,654194.0,366903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763510400,1763596800,2025-11-19T00:00:00+00:00,2025-11-20T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,245.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4.1-2025-04-14,False,incentivized-tier,210411.0,39251.0,0.0,210411.0,210411.0,39251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763510400,1763596800,2025-11-19T00:00:00+00:00,2025-11-20T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,590.0,user-9K9NKdMZnughqzWdz3vw25M7,key_oqQVKSsblJM0cH8A,gpt-4.1-2025-04-14,False,default,774594.0,1252342.0,97280.0,677314.0,677314.0,1252342.0,97280.0,0.0,0.0,0.0,0.0,0.0,0.0
1763510400,1763596800,2025-11-19T00:00:00+00:00,2025-11-20T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,3.0,user-9K9NKdMZnughqzWdz3vw25M7,key_ijVwXbBu9iELk7hy,gpt-5-pro-2025-10-06,False,default,69220.0,12371.0,0.0,69220.0,69220.0,12371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763596800,1763683200,2025-11-20T00:00:00+00:00,2025-11-21T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,2.0,user-9K9NKdMZnughqzWdz3vw25M7,key_RncWc8uX64FYUW5T,gpt-4o-mini-2024-07-18,False,incentivized-tier,33335.0,788.0,0.0,33335.0,33335.0,788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763596800,1763683200,2025-11-20T00:00:00+00:00,2025-11-21T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,13.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,16631.0,4174.0,2176.0,14455.0,14455.0,4174.0,2176.0,0.0,0.0,0.0,0.0,0.0,0.0
1763683200,1763769600,2025-11-21T00:00:00+00:00,2025-11-22T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,17.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,24971.0,5428.0,1536.0,23435.0,23435.0,5428.0,1536.0,0.0,0.0,0.0,0.0,0.0,0.0
1763769600,1763856000,2025-11-22T00:00:00+00:00,2025-11-23T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,36.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,103931.0,16158.0,34816.0,69115.0,69115.0,16158.0,34816.0,0.0,0.0,0.0,0.0,0.0,0.0
1763769600,1763856000,2025-11-22T00:00:00+00:00,2025-11-23T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,9.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-mini-2024-07-18,False,incentivized-tier,70095.0,2944.0,0.0,70095.0,70095.0,2944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763769600,1763856000,2025-11-22T00:00:00+00:00,2025-11-23T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,1.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4-0125-preview,False,default,3982.0,942.0,0.0,3982.0,3982.0,942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763856000,1763942400,2025-11-23T00:00:00+00:00,2025-11-24T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,124.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4.1-mini-2025-04-14,False,incentivized-tier,399978.0,36510.0,117760.0,282218.0,282218.0,36510.0,117760.0,0.0,0.0,0.0,0.0,0.0,0.0
1763856000,1763942400,2025-11-23T00:00:00+00:00,2025-11-24T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,1.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,2104.0,414.0,0.0,2104.0,2104.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763856000,1763942400,2025-11-23T00:00:00+00:00,2025-11-24T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,36.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-mini-2024-07-18,False,incentivized-tier,330417.0,13831.0,0.0,330417.0,330417.0,13831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763856000,1763942400,2025-11-23T00:00:00+00:00,2025-11-24T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,17.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4-0125-preview,False,default,74308.0,17461.0,0.0,74308.0,74308.0,17461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763942400,1764028800,2025-11-24T00:00:00+00:00,2025-11-25T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,5.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-mini-2024-07-18,False,incentivized-tier,52853.0,2336.0,0.0,52853.0,52853.0,2336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763942400,1764028800,2025-11-24T00:00:00+00:00,2025-11-25T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,1.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4-0125-preview,False,default,4368.0,1199.0,0.0,4368.0,4368.0,1199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764028800,1764115200,2025-11-25T00:00:00+00:00,2025-11-26T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,8.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,14473.0,6262.0,2048.0,12425.0,12425.0,6262.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0
1764028800,1764115200,2025-11-25T00:00:00+00:00,2025-11-26T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,15.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-mini-2024-07-18,False,incentivized-tier,197327.0,5479.0,0.0,197327.0,197327.0,5479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764028800,1764115200,2025-11-25T00:00:00+00:00,2025-11-26T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,9.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4-0125-preview,False,default,41950.0,9712.0,0.0,41950.0,41950.0,9712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764115200,1764201600,2025-11-26T00:00:00+00:00,2025-11-27T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,15.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,41543.0,18495.0,7168.0,34375.0,34375.0,18495.0,7168.0,0.0,0.0,0.0,0.0,0.0,0.0
1764115200,1764201600,2025-11-26T00:00:00+00:00,2025-11-27T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,6.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-mini-2024-07-18,False,incentivized-tier,92234.0,4088.0,0.0,92234.0,92234.0,4088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764201600,1764288000,2025-11-27T00:00:00+00:00,2025-11-28T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,10.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,28844.0,6391.0,11008.0,17836.0,17836.0,6391.0,11008.0,0.0,0.0,0.0,0.0,0.0,0.0
1764201600,1764288000,2025-11-27T00:00:00+00:00,2025-11-28T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,5.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-mini-2024-07-18,False,incentivized-tier,77407.0,3143.0,0.0,77407.0,77407.0,3143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764288000,1764374400,2025-11-28T00:00:00+00:00,2025-11-29T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,1.0,user-9K9NKdMZnughqzWdz3vw25M7,key_KeVgNceJif7epqRd,gpt-image-1-2025-04-23,False,default,2155.0,20800.0,0.0,2155.0,2155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20800.0
1764374400,1764460800,2025-11-29T00:00:00+00:00,2025-11-30T00:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1764460800,1764547200,2025-11-30T00:00:00+00:00,2025-12-01T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,9.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,52859.0,16047.0,5120.0,47739.0,47739.0,16047.0,5120.0,0.0,0.0,0.0,0.0,0.0,0.0
1764460800,1764547200,2025-11-30T00:00:00+00:00,2025-12-01T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,22.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-mini-2024-07-18,False,incentivized-tier,303974.0,18004.0,0.0,303974.0,303974.0,18004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764547200,1764633600,2025-12-01T00:00:00+00:00,2025-12-02T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,17.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,70540.0,16859.0,12288.0,58252.0,58252.0,16859.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0
1764547200,1764633600,2025-12-01T00:00:00+00:00,2025-12-02T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,41.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-mini-2024-07-18,False,incentivized-tier,637234.0,26912.0,0.0,637234.0,637234.0,26912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764633600,1764720000,2025-12-02T00:00:00+00:00,2025-12-03T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,5.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,42953.0,3034.0,0.0,42953.0,42953.0,3034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764633600,1764720000,2025-12-02T00:00:00+00:00,2025-12-03T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,32.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-mini-2024-07-18,False,incentivized-tier,450092.0,16361.0,0.0,450092.0,450092.0,16361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764720000,1764806400,2025-12-03T00:00:00+00:00,2025-12-04T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,3.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,30718.0,2306.0,0.0,30718.0,30718.0,2306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764806400,1764892800,2025-12-04T00:00:00+00:00,2025-12-05T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,3.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,29544.0,1218.0,0.0,29544.0,29544.0,1218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764892800,1764979200,2025-12-05T00:00:00+00:00,2025-12-06T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,32.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,198428.0,25737.0,23808.0,174620.0,174620.0,25737.0,23808.0,0.0,0.0,0.0,0.0,0.0,0.0
1764979200,1765065600,2025-12-06T00:00:00+00:00,2025-12-07T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,19.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,264906.0,7892.0,68352.0,196554.0,196554.0,7892.0,68352.0,0.0,0.0,0.0,0.0,0.0,0.0
1765065600,1765152000,2025-12-07T00:00:00+00:00,2025-12-08T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,15.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4.1-2025-04-14,False,incentivized-tier,112605.0,21884.0,10240.0,102365.0,102365.0,21884.0,10240.0,0.0,0.0,0.0,0.0,0.0,0.0
1765065600,1765152000,2025-12-07T00:00:00+00:00,2025-12-08T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,10.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,93085.0,4543.0,23808.0,69277.0,69277.0,4543.0,23808.0,0.0,0.0,0.0,0.0,0.0,0.0
1765065600,1765152000,2025-12-07T00:00:00+00:00,2025-12-08T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,2.0,user-9K9NKdMZnughqzWdz3vw25M7,key_s02zPftqhys3YY1l,gpt-4.1-2025-04-14,False,incentivized-tier,11745.0,3035.0,0.0,11745.0,11745.0,3035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765152000,1765238400,2025-12-08T00:00:00+00:00,2025-12-09T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,9.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4.1-2025-04-14,False,incentivized-tier,125562.0,26659.0,14336.0,111226.0,111226.0,26659.0,14336.0,0.0,0.0,0.0,0.0,0.0,0.0
1765152000,1765238400,2025-12-08T00:00:00+00:00,2025-12-09T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,5.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,72249.0,1885.0,0.0,72249.0,72249.0,1885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765238400,1765324800,2025-12-09T00:00:00+00:00,2025-12-10T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,10.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4.1-2025-04-14,False,incentivized-tier,71270.0,23752.0,2048.0,69222.0,69222.0,23752.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0
1765324800,1765411200,2025-12-10T00:00:00+00:00,2025-12-11T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,8.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4.1-2025-04-14,False,default,95274.0,34141.0,0.0,95274.0,95274.0,34141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765324800,1765411200,2025-12-10T00:00:00+00:00,2025-12-11T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,16.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4.1-2025-04-14,False,incentivized-tier,179069.0,58708.0,10240.0,168829.0,168829.0,58708.0,10240.0,0.0,0.0,0.0,0.0,0.0,0.0
1765411200,1765497600,2025-12-11T00:00:00+00:00,2025-12-12T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,3786.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,default,2874327.0,345965.0,0.0,2874327.0,2874327.0,345965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765411200,1765497600,2025-12-11T00:00:00+00:00,2025-12-12T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,6.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4.1-2025-04-14,False,incentivized-tier,65352.0,18399.0,0.0,65352.0,65352.0,18399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765411200,1765497600,2025-12-11T00:00:00+00:00,2025-12-12T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,39.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,163554.0,3086.0,0.0,163554.0,163554.0,3086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765411200,1765497600,2025-12-11T00:00:00+00:00,2025-12-12T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,2.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-mini-2024-07-18,False,incentivized-tier,438.0,54.0,0.0,438.0,438.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765497600,1765584000,2025-12-12T00:00:00+00:00,2025-12-13T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,4.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4.1-2025-04-14,False,default,42730.0,10441.0,0.0,42730.0,42730.0,10441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765497600,1765584000,2025-12-12T00:00:00+00:00,2025-12-13T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,1147.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,default,851867.0,91768.0,0.0,851867.0,851867.0,91768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765497600,1765584000,2025-12-12T00:00:00+00:00,2025-12-13T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,2.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4.1-2025-04-14,False,incentivized-tier,21281.0,4808.0,0.0,21281.0,21281.0,4808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765497600,1765584000,2025-12-12T00:00:00+00:00,2025-12-13T00:00:00+00:00,proj_jkQcJPQxbmuzDff2KNTXfDd3,458.0,user-9K9NKdMZnughqzWdz3vw25M7,key_nnSsnrSxeHSM6bnP,gpt-4o-2024-08-06,False,incentivized-tier,209894.0,13382.0,0.0,209894.0,209894.0,13382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
